ENTITY	YEAR	CATEGORY	VAIC	ICE	HCE	SCE	CCE	VA	HC	SC	CE	LIABILITIES	ASSETS	EQUITY	NETPROFITS	SALES	DEBT	SIZE	ROA	ENTITY_ID
"CITIBANK"	2023	"Banco"	7.64	7.11	6.27	0.84	0.54	642182.00	102484.00	539698.00	1196371.00	7428631.00	8625002.00	1196371.00	423135.00	643475.00	0.86	0.64	0.0491	8
"GNB"	2019	"Banco"	2.66	2.51	2.01	0.50	0.16	120695.00	60161.00	60534.00	778112.00	4862286.00	5640398.00	778112.00	44004.00	3962134.00	0.86	3.96	0.0078	9
"GNB"	2020	"Banco"	1.52	1.43	1.24	0.19	0.09	69720.00	56271.00	13449.00	749096.00	5236401.00	5985497.00	749096.00	5104.00	375756.00	0.87	0.38	0.0009	9
"GNB"	2021	"Banco"	2.14	2.02	1.63	0.39	0.12	93199.00	57083.00	36116.00	759045.00	5208424.00	5967469.00	759045.00	31527.00	334326.00	0.87	0.33	0.0053	9
"GNB"	2022	"Banco"	2.06	1.94	1.57	0.36	0.12	91798.00	58387.00	33411.00	760795.00	4704211.00	5465006.00	760795.00	33517.00	385088.00	0.86	0.39	0.0061	9
"GNB"	2023	"Banco"	1.60	1.50	1.28	0.22	0.10	77528.00	60620.00	16908.00	756989.00	4593161.00	5350150.00	756989.00	20084.00	427469.00	0.86	0.43	0.0038	9
"INTERBANK"	2019	"Banco"	4.85	4.44	3.71	0.73	0.40	2437147.00	656822.00	1780325.00	6028991.00	46274122.00	52303113.00	6028991.00	1221516.00	5127601.00	0.88	5.13	0.0234	10
"INTERBANK"	2020	"Banco"	2.43	2.25	1.81	0.45	0.17	1068854.00	591554.00	477300.00	6183405.00	61640646.00	67824051.00	6183405.00	264883.00	4703332.00	0.91	4.70	0.0039	10
"INTERBANK"	2021	"Banco"	4.99	4.64	3.90	0.74	0.35	2399380.00	615470.00	1783910.00	6802829.00	61309153.00	68111982.00	6802829.00	1200476.00	4498509.00	0.90	4.50	0.0176	10
"INTERBANK"	2022	"Banco"	4.67	4.34	3.62	0.72	0.33	2364179.00	653632.00	1710547.00	7079840.00	59365852.00	66445692.00	7079840.00	1171698.00	5811431.00	0.89	5.81	0.0176	10
"INTERBANK"	2023	"Banco"	4.15	3.89	3.20	0.69	0.26	1980600.00	618489.00	1362111.00	7712842.00	60277301.00	67990143.00	7712842.00	900498.00	7120972.00	0.89	7.12	0.0132	10
"MIBANCO"	2019	"Banco"	2.88	2.18	1.75	0.43	0.70	1383418.00	790490.00	592928.00	1964883.00	11181158.00	13146041.00	1964883.00	391766.00	2541647.00	0.85	2.54	0.0298	11
"MIBANCO"	2020	"Banco"	1.35	1.03	1.01	0.01	0.32	749230.00	738534.00	10696.00	2333292.00	13291750.00	15625042.00	2333292.00	-35204.00	2136364.00	0.85	2.14	-0.0023	11
"MIBANCO"	2021	"Banco"	2.21	1.72	1.42	0.30	0.49	1080290.00	760234.00	320056.00	2212295.00	13591040.00	15803335.00	2212295.00	179148.00	2127194.00	0.86	2.13	0.0113	11
"MIBANCO"	2022	"Banco"	2.79	2.25	1.80	0.44	0.55	1435702.00	796872.00	638830.00	2633903.00	14283149.00	16917052.00	2633903.00	438355.00	2859047.00	0.84	2.86	0.0259	11
"MIBANCO"	2023	"Banco"	2.09	1.69	1.40	0.29	0.40	1142520.00	815868.00	326652.00	2865063.00	13718978.00	16584041.00	2865063.00	265941.00	3201231.00	0.83	3.20	0.0160	11
"PICHINCHA"	2019	"Banco"	2.21	1.92	1.56	0.36	0.29	270435.00	173483.00	96952.00	925031.00	8751433.00	9676464.00	925031.00	56878.00	1055398.00	0.90	1.06	0.0059	12
"PICHINCHA"	2020	"Banco"	1.14	0.96	0.98	-0.02	0.18	169579.00	172757.00	-3178.00	967505.00	10205792.00	11173297.00	967505.00	-22092.00	947241.00	0.91	0.95	-0.0020	12
"PICHINCHA"	2021	"Banco"	-1.26	-1.34	0.37	-1.71	0.07	64938.00	175776.00	-110838.00	885129.00	10422983.00	11308112.00	885129.00	-97771.00	1006049.00	0.92	1.01	-0.0086	12
"PICHINCHA"	2022	"Banco"	1.47	1.27	1.15	0.13	0.19	181029.00	157850.00	23179.00	943082.00	10257318.00	11200400.00	943082.00	5059.00	1197379.00	0.92	1.20	0.0005	12
"PICHINCHA"	2023	"Banco"	1.32	1.15	1.08	0.07	0.16	186049.00	172520.00	13529.00	1130790.00	9728078.00	10858868.00	1130790.00	631.00	1364729.00	0.90	1.36	0.0001	12
"RIPLEY"	2019	"Banco"	2.82	2.26	1.82	0.45	0.55	259264.00	142789.00	116475.00	469751.00	2105738.00	2575489.00	469751.00	60881.00	754639.00	0.82	0.75	0.0236	13
"RIPLEY"	2020	"Banco"	-5.30	-5.36	0.15	-5.52	0.06	21203.00	138146.00	-116943.00	329337.00	1767238.00	2096575.00	329337.00	-109958.00	593925.00	0.84	0.59	-0.0524	13
"RIPLEY"	2021	"Banco"	1.42	1.09	1.05	0.05	0.32	118035.00	112576.00	5459.00	368170.00	1785590.00	2153760.00	368170.00	-20280.00	409004.00	0.83	0.41	-0.0094	13
"RIPLEY"	2022	"Banco"	1.42	1.12	1.06	0.06	0.30	124038.00	116719.00	7319.00	410051.00	2156773.00	2566824.00	410051.00	-18198.00	546798.00	0.84	0.55	-0.0071	13
"RIPLEY"	2023	"Banco"	-1.60	-1.71	0.33	-2.04	0.10	40220.00	122116.00	-81896.00	387247.00	1719386.00	2106633.00	387247.00	-83249.00	635022.00	0.82	0.64	-0.0395	13
"SANTANDER"	2019	"Banco"	5.05	4.79	4.04	0.75	0.26	213153.00	52786.00	160367.00	811086.00	5433093.00	6244179.00	811086.00	107847.00	371786.00	0.87	0.37	0.0173	14
"SANTANDER"	2020	"Banco"	4.89	4.61	3.87	0.74	0.28	244245.00	63075.00	181170.00	881632.00	7435746.00	8317378.00	881632.00	118709.00	378825.00	0.89	0.38	0.0143	14
"SANTANDER"	2021	"Banco"	5.41	5.10	4.33	0.77	0.31	323621.00	74676.00	248945.00	1042407.00	8502509.00	9544916.00	1042407.00	166108.00	385381.00	0.89	0.39	0.0174	14
"SANTANDER"	2022	"Banco"	5.04	4.75	4.00	0.75	0.30	334339.00	83649.00	250690.00	1127162.00	7427389.00	8554551.00	1127162.00	167285.00	559631.00	0.87	0.56	0.0196	14
"SANTANDER"	2023	"Banco"	5.21	4.89	4.13	0.76	0.32	407173.00	98640.00	308533.00	1274750.00	9813729.00	11088479.00	1274750.00	221271.00	848235.00	0.89	0.85	0.0200	14
"SCOTIABANK"	2019	"Banco"	3.97	3.67	3.00	0.67	0.30	2996689.00	999157.00	1997532.00	9898180.00	66416638.00	76314818.00	9898180.00	1472524.00	6472867.00	0.87	6.47	0.0193	15
"SCOTIABANK"	2020	"Banco"	1.69	1.57	1.32	0.24	0.13	1260810.00	952547.00	308263.00	10021460.00	69982652.00	80004112.00	10021460.00	252444.00	5620983.00	0.87	5.62	0.0032	15
"SCOTIABANK"	2021	"Banco"	3.35	3.13	2.52	0.60	0.22	2384899.00	944789.00	1440110.00	10805658.00	68078095.00	78883753.00	10805658.00	1032071.00	4310262.00	0.86	4.31	0.0131	15
"SCOTIABANK"	2022	"Banco"	4.39	4.12	3.41	0.71	0.27	2944506.00	862999.00	2081507.00	10894808.00	64741479.00	75636287.00	10894808.00	1415865.00	5468368.00	0.86	5.47	0.0187	15
"SCOTIABANK"	2023	"Banco"	2.98	2.81	2.25	0.56	0.17	1979998.00	879089.00	1100909.00	11628748.00	60992266.00	72621014.00	11628748.00	779512.00	6514185.00	0.84	6.51	0.0107	15
